year,name,n
2018,Rudi Stouffs,0.006654232
2019,Rudi Stouffs,0.006089841
2020,Rudi Stouffs,0.004963557
2021,Rudi Stouffs,0.006054851
2022,Rudi Stouffs,0.006639119
1997,Mitsuo Morozumi,0.00410831
1998,Mitsuo Morozumi,0.001052976
1999,Mitsuo Morozumi,0.003865724
2000,Mitsuo Morozumi,0.0041604
2001,Mitsuo Morozumi,0.004839877
2002,Mitsuo Morozumi,0.006022762
2003,Mitsuo Morozumi,0.00466039
2004,Mitsuo Morozumi,0.005148494
2005,Mitsuo Morozumi,0.006374525
2006,Mitsuo Morozumi,0.008491689
2007,Mitsuo Morozumi,0.008549898
2008,Mitsuo Morozumi,0.007500405
2009,Mitsuo Morozumi,0.007154966
2010,Mitsuo Morozumi,0.007489955
2011,Mitsuo Morozumi,0.008089736
2012,Mitsuo Morozumi,0.007506543
2013,Mitsuo Morozumi,0.006637675
2014,Mitsuo Morozumi,0.005748925
2015,Mitsuo Morozumi,0.00478468
2016,Mitsuo Morozumi,0.004499165
2017,Mitsuo Morozumi,0.00398572
2018,Mitsuo Morozumi,0.003494257
2019,Mitsuo Morozumi,0.002917316
2020,Mitsuo Morozumi,0.002570913
2021,Mitsuo Morozumi,0.002106431
2022,Mitsuo Morozumi,0.001981759
2001,Taysheng Jeng,0.000763005
2002,Taysheng Jeng,0.006247329
2003,Taysheng Jeng,0.005808955
2004,Taysheng Jeng,0.010091078
2005,Taysheng Jeng,0.010248486
2006,Taysheng Jeng,0.010414053
2007,Taysheng Jeng,0.010713271
2008,Taysheng Jeng,0.010312233
2009,Taysheng Jeng,0.011599574
2010,Taysheng Jeng,0.014468202
2011,Taysheng Jeng,0.014364859
2012,Taysheng Jeng,0.013456864
2013,Taysheng Jeng,0.012670822
2014,Taysheng Jeng,0.01091759
2015,Taysheng Jeng,0.010651339
2016,Taysheng Jeng,0.011128824
2017,Taysheng Jeng,0.01000402
2018,Taysheng Jeng,0.008906205
2019,Taysheng Jeng,0.007571045
2020,Taysheng Jeng,0.006770117
2021,Taysheng Jeng,0.007536436
2022,Taysheng Jeng,0.007381563
2005,Ji-Hyun Lee,6.03865E-06
2006,Ji-Hyun Lee,4.29363E-06
2007,Ji-Hyun Lee,2.11356E-05
2008,Ji-Hyun Lee,2.86508E-05
2009,Ji-Hyun Lee,4.37129E-05
2010,Ji-Hyun Lee,0.00066863
2011,Ji-Hyun Lee,0.018126985
2012,Ji-Hyun Lee,0.018648098
2013,Ji-Hyun Lee,0.017334308
2014,Ji-Hyun Lee,0.018630548
2015,Ji-Hyun Lee,0.017790693
2016,Ji-Hyun Lee,0.018448808
2017,Ji-Hyun Lee,0.016657362
2018,Ji-Hyun Lee,0.018301444
2019,Ji-Hyun Lee,0.017750697
2020,Ji-Hyun Lee,0.016880772
2021,Ji-Hyun Lee,0.033047199
2022,Ji-Hyun Lee,0.023216025
1997,Mary Lou Maher,0.001120448
1998,Mary Lou Maher,0.000536711
1999,Mary Lou Maher,0.000890948
2000,Mary Lou Maher,0.002274311
2001,Mary Lou Maher,0.001861331
2002,Mary Lou Maher,0.001600487
2003,Mary Lou Maher,0.001231432
2004,Mary Lou Maher,0.027395412
2005,Mary Lou Maher,0.03446558
2006,Mary Lou Maher,0.039782656
2007,Mary Lou Maher,0.035417322
2008,Mary Lou Maher,0.03729552
2009,Mary Lou Maher,0.054601803
2010,Mary Lou Maher,0.089969743
2011,Mary Lou Maher,0.029505484
2012,Mary Lou Maher,0.028115405
2013,Mary Lou Maher,0.024329126
2014,Mary Lou Maher,0.02287768
2015,Mary Lou Maher,0.021258135
2016,Mary Lou Maher,0.019873325
2017,Mary Lou Maher,0.017278328
2018,Mary Lou Maher,0.016518202
2019,Mary Lou Maher,0.015094068
2020,Mary Lou Maher,0.01326803
2021,Mary Lou Maher,0.008468075
2022,Mary Lou Maher,0.006646997
1997,Kazuhisa Iki,0.00410831
1998,Kazuhisa Iki,0.002240054
1999,Kazuhisa Iki,0.007957312
2000,Kazuhisa Iki,0.007197182
2001,Kazuhisa Iki,0.010088094
2002,Kazuhisa Iki,0.008995072
2003,Kazuhisa Iki,0.007074268
2004,Kazuhisa Iki,0.009645375
2005,Kazuhisa Iki,0.009394458
2006,Kazuhisa Iki,0.012265578
2007,Kazuhisa Iki,0.01052798
2008,Kazuhisa Iki,0.009857626
2009,Kazuhisa Iki,0.009611737
2010,Kazuhisa Iki,0.010428436
2011,Kazuhisa Iki,0.014527744
2012,Kazuhisa Iki,0.013743289
2013,Kazuhisa Iki,0.012298185
2014,Kazuhisa Iki,0.010077014
2015,Kazuhisa Iki,0.010473712
2016,Kazuhisa Iki,0.009927522
2017,Kazuhisa Iki,0.008963158
2018,Kazuhisa Iki,0.008018322
2019,Kazuhisa Iki,0.006847446
2020,Kazuhisa Iki,0.006146593
2021,Kazuhisa Iki,0.008268927
2022,Kazuhisa Iki,0.008198104
1997,Robert F. Woodbury,0.000840336
1998,Robert F. Woodbury,0.000375698
1999,Robert F. Woodbury,0.000207888
2000,Robert F. Woodbury,0.003647283
2001,Robert F. Woodbury,0.003341935
2002,Robert F. Woodbury,0.005449657
2003,Robert F. Woodbury,0.004603944
2004,Robert F. Woodbury,0.004060851
2005,Robert F. Woodbury,0.004338768
2006,Robert F. Woodbury,0.003514339
2007,Robert F. Woodbury,0.003330621
2008,Robert F. Woodbury,0.002800619
2009,Robert F. Woodbury,0.0026507
2010,Robert F. Woodbury,0.024938957
2011,Robert F. Woodbury,0.033390982
2012,Robert F. Woodbury,0.036682888
2013,Robert F. Woodbury,0.040220885
2014,Robert F. Woodbury,0.036085401
2015,Robert F. Woodbury,0.034965517
2016,Robert F. Woodbury,0.03356443
2017,Robert F. Woodbury,0.030452404
2018,Robert F. Woodbury,0.027093
2019,Robert F. Woodbury,0.023091072
2020,Robert F. Woodbury,0.022385958
2021,Robert F. Woodbury,0.024175374
2022,Robert F. Woodbury,0.024237557
2008,Hyoung-June Park,1.14603E-05
2009,Hyoung-June Park,9.71397E-06
2010,Hyoung-June Park,0.00032894
2011,Hyoung-June Park,0.006165692
2012,Hyoung-June Park,0.006621227
2013,Hyoung-June Park,0.006631741
2014,Hyoung-June Park,0.007623071
2015,Hyoung-June Park,0.007150224
2016,Hyoung-June Park,0.007308579
2017,Hyoung-June Park,0.006586534
2018,Hyoung-June Park,0.006318572
2019,Hyoung-June Park,0.005749911
2020,Hyoung-June Park,0.00514902
2021,Hyoung-June Park,0.020899681
2022,Hyoung-June Park,0.021907157
2013,Tian Tian Lo,0.000743177
2014,Tian Tian Lo,0.000321455
2015,Tian Tian Lo,0.000593723
2016,Tian Tian Lo,0.000290769
2017,Tian Tian Lo,1.8074E-05
2018,Tian Tian Lo,0.00030027
2019,Tian Tian Lo,0.000865517
2020,Tian Tian Lo,0.00180696
2021,Tian Tian Lo,0.011100617
2022,Tian Tian Lo,0.014101229
2017,António Leitão,0.000010041128462181100
2018,António Leitão,0.000013684263534831400
2019,António Leitão,0.000034875867430873500
2020,António Leitão,0.000038982843380509100
2021,António Leitão,0.00003226488204507030
2022,António Leitão,0.00003356055202840430
2013,Stylianos Dritsas,1.35369E-06
2014,Stylianos Dritsas,7.56364E-06
2015,Stylianos Dritsas,6.74686E-06
2016,Stylianos Dritsas,9.70577E-06
2017,Stylianos Dritsas,7.56432E-05
2018,Stylianos Dritsas,0.00017598
2019,Stylianos Dritsas,0.00132725
2020,Stylianos Dritsas,0.001825283
2021,Stylianos Dritsas,0.04721019
2022,Stylianos Dritsas,0.012315495
2011,Nicole Gardner,6.20541E-07
2012,Nicole Gardner,5.45496E-07
2013,Nicole Gardner,9.02462E-07
2014,Nicole Gardner,1.08052E-06
2015,Nicole Gardner,2.57023E-06
2016,Nicole Gardner,4.04407E-06
2017,Nicole Gardner,0.000168022
2018,Nicole Gardner,1.67107E-05
2019,Nicole Gardner,3.19004E-05
2020,Nicole Gardner,3.95453E-05
2021,Nicole Gardner,4.03455E-05
2022,Nicole Gardner,5.26663E-05
2000,Mark Burry,0.000660284
2001,Mark Burry,0.000444181
2002,Mark Burry,0.002064628
2003,Mark Burry,0.00292795
2004,Mark Burry,0.002474816
2005,Mark Burry,0.002204106
2006,Mark Burry,0.001730334
2007,Mark Burry,0.002051916
2008,Mark Burry,0.001786379
2009,Mark Burry,0.00163559
2010,Mark Burry,0.030631631
2011,Mark Burry,0.038589744
2012,Mark Burry,0.03980278
2013,Mark Burry,0.043281629
2014,Mark Burry,0.040371941
2015,Mark Burry,0.03867958
2016,Mark Burry,0.03859493
2017,Mark Burry,0.034917223
2018,Mark Burry,0.030801346
2019,Mark Burry,0.026544217
2020,Mark Burry,0.027014103
2021,Mark Burry,0.041037275
2022,Mark Burry,0.027487559
2010,Guohua Ji,2.14994E-06
2011,Guohua Ji,1.86162E-06
2012,Guohua Ji,8.18244E-06
2013,Guohua Ji,6.76846E-06
2014,Guohua Ji,5.4026E-06
2015,Guohua Ji,4.81918E-06
2016,Guohua Ji,1.05146E-05
2017,Guohua Ji,8.70231E-06
2018,Guohua Ji,0.002019524
2019,Guohua Ji,0.001716573
2020,Guohua Ji,0.008876466
2021,Guohua Ji,0.01167559
2022,Guohua Ji,0.012893723
2016,Yasushi Ikeda,4.85288E-06
2017,Yasushi Ikeda,3.72637E-05
2018,Yasushi Ikeda,7.14319E-05
2019,Yasushi Ikeda,6.9867E-05
2020,Yasushi Ikeda,7.87606E-05
2021,Yasushi Ikeda,6.51877E-05
2022,Yasushi Ikeda,0.000180644
2005,June-Hao Hou,0.0002497
2006,June-Hao Hou,5.56476E-05
2007,June-Hao Hou,4.56546E-05
2008,June-Hao Hou,3.71329E-05
2009,June-Hao Hou,3.14745E-05
2010,June-Hao Hou,2.78642E-05
2011,June-Hao Hou,2.41275E-05
2012,June-Hao Hou,2.12097E-05
2013,June-Hao Hou,1.75445E-05
2014,June-Hao Hou,1.40041E-05
2015,June-Hao Hou,1.82052E-05
2016,June-Hao Hou,0.00057619
2017,June-Hao Hou,0.000517713
2018,June-Hao Hou,0.000909942
2019,June-Hao Hou,0.001154046
2020,June-Hao Hou,0.001714043
2021,June-Hao Hou,0.001862855
2022,June-Hao Hou,0.002914492
2005,Thomas Kvan,5.43478E-05
2006,Thomas Kvan,3.86427E-05
2007,Thomas Kvan,0.000327602
2008,Thomas Kvan,0.000492794
2009,Thomas Kvan,0.008553962
2010,Thomas Kvan,0.05853015
2011,Thomas Kvan,0.075633867
2012,Thomas Kvan,0.085245328
2013,Thomas Kvan,0.086530456
2014,Thomas Kvan,0.079765366
2015,Thomas Kvan,0.078838831
2016,Thomas Kvan,0.084881442
2017,Thomas Kvan,0.087533323
2018,Thomas Kvan,0.084323516
2019,Thomas Kvan,0.076092135
2020,Thomas Kvan,0.076785708
2021,Thomas Kvan,0.095581563
2022,Thomas Kvan,0.07820033
1997,Sambit Datta,4.66853E-05
1998,Sambit Datta,1.78904E-05
1999,Sambit Datta,9.89942E-06
2000,Sambit Datta,0.000110047
2001,Sambit Datta,4.2303E-05
2002,Sambit Datta,3.20097E-05
2003,Sambit Datta,6.59696E-05
2004,Sambit Datta,0.000122684
2005,Sambit Datta,0.000199275
2006,Sambit Datta,0.000193213
2007,Sambit Datta,0.000169085
2008,Sambit Datta,0.000137524
2009,Sambit Datta,0.0004347
2010,Sambit Datta,0.005551443
2011,Sambit Datta,0.004022965
2012,Sambit Datta,0.005169833
2013,Sambit Datta,0.005416727
2014,Sambit Datta,0.004677737
2015,Sambit Datta,0.004347526
2016,Sambit Datta,0.005162562
